file	obj	dual bound	time
100_1_k2	0	49.0	TL
100_1_k3	0	49.0	TL
100_1_k4	0	49.0	TL
100_1_k5	0	49.0	TL
100_2_k2	0	49.0	TL
100_2_k3	0	49.0	TL
100_2_k4	0	49.0	TL
100_2_k5	0	49.0	TL
100_3_k2	0	52.0	TL
100_3_k3	0	51.0	TL
100_3_k4	0	51.0	TL
100_3_k5	0	51.0	TL
100_4_k2	0	50.0	TL
100_4_k3	0	50.0	TL
100_4_k4	0	50.0	TL
100_4_k5	0	49.0	TL
100_5_k2	0	50.0	TL
100_5_k3	0	49.0	TL
100_5_k4	0	50.0	TL
100_5_k5	0	49.0	TL
10_1_k2	6	6	0.706740140914917
10_1_k3	7	7	2.382068395614624
10_1_k4	7	7	3.4238269329071045
10_1_k5	8	8	6.2819976806640625
10_2_k2	6	6	0.7075395584106445
10_2_k3	6	6	3.83720326423645
10_2_k4	7	7	3.364509105682373
10_2_k5	8	8	4.416763544082642
10_3_k2	6	6	2.453305959701538
10_3_k3	7	7	2.9515254497528076
10_3_k4	7	7	4.109494686126709
10_3_k5	8	8	11.452647686004639
10_4_k2	5	5	1.1772873401641846
10_4_k3	6	6	2.9154486656188965
10_4_k4	7	7	4.171198844909668
10_4_k5	8	8	7.101841688156128
10_5_k2	6	6	1.8433773517608643
10_5_k3	7	7	2.9415485858917236
10_5_k4	7	7	4.426904201507568
10_5_k5	8	8	9.672648429870605
15_1_k2	9	9	5.3232340812683105
15_1_k3	10	10	20.202908515930176
15_1_k4	11	11	55.4038610458374
15_1_k5	11	11	129.12881207466125
15_2_k2	8	8	2.232224941253662
15_2_k3	10	10	12.918850421905518
15_2_k4	11	11	35.43553590774536
15_2_k5	11	11	59.996519327163696
15_3_k2	8	8	2.8334076404571533
15_3_k3	9	9	7.713694095611572
15_3_k4	10	10	36.55119180679321
15_3_k5	11	11	72.19643807411194
15_4_k2	9	9	4.972224235534668
15_4_k3	10	10	21.328956604003906
15_4_k4	11	11	77.69504070281982
15_4_k5	0	11.0	TL
15_5_k2	9	9	3.845088005065918
15_5_k3	10	10	21.95809268951416
15_5_k4	11	11	107.04893398284912
15_5_k5	12	12	210.00693655014038
20_1_k2	11	11	5.547873258590698
20_1_k3	12	12	24.87405252456665
20_1_k4	14	14	224.1775996685028
20_1_k5	0	14.0	TL
20_2_k2	12	12	14.037414073944092
20_2_k3	13	13	109.8075122833252
20_2_k4	0	14.0	TL
20_2_k5	0	14.0	TL
20_3_k2	11	11	6.290356636047363
20_3_k3	13	13	66.1986653804779
20_3_k4	13	13	89.52220463752747
20_3_k5	0	14.0	TL
20_4_k2	11	11	5.816291332244873
20_4_k3	13	13	37.98211479187012
20_4_k4	14	14	111.18256139755249
20_4_k5	14	14	276.162855386734
20_5_k2	12	12	9.317661046981812
20_5_k3	13	13	62.359925746917725
20_5_k4	0	14.0	TL
20_5_k5	0	14.0	TL
30_1_k2	17	17	41.2089307308197
30_1_k3	0	19.0	TL
30_1_k4	0	19.0	TL
30_1_k5	0	19.0	TL
30_2_k2	17	17	28.417175769805908
30_2_k3	20	20	373.59124064445496
30_2_k4	0	20.0	TL
30_2_k5	0	20.0	TL
30_3_k2	17	17	87.43817353248596
30_3_k3	0	19.0	TL
30_3_k4	0	19.0	TL
30_3_k5	0	19.0	TL
30_4_k2	16	16	36.006455421447754
30_4_k3	19	19	423.9357590675354
30_4_k4	0	19.0	TL
30_4_k5	0	19.0	TL
30_5_k2	17	17	23.2580623626709
30_5_k3	20	20	491.85040760040283
30_5_k4	0	20.0	TL
30_5_k5	0	20.0	TL
45_1_k2	26	26	240.2975516319275
45_1_k3	0	27.0	TL
45_1_k4	0	28.0	TL
45_1_k5	0	28.0	TL
45_2_k2	26	26	311.32965302467346
45_2_k3	0	26.0	TL
45_2_k4	0	25.0	TL
45_2_k5	0	26.0	TL
45_3_k2	26	26	326.00446033477783
45_3_k3	0	27.0	TL
45_3_k4	0	26.0	TL
45_3_k5	0	26.0	TL
45_4_k2	0	27.0	TL
45_4_k3	0	27.0	TL
45_4_k4	0	26.0	TL
45_4_k5	0	26.0	TL
45_5_k2	26	26	225.94347023963928
45_5_k3	0	26.0	TL
45_5_k4	0	27.0	TL
45_5_k5	0	26.0	TL
50_1_k2	0	28.0	TL
50_1_k3	0	28.0	TL
50_1_k4	0	28.0	TL
50_1_k5	0	28.0	TL
50_2_k2	28	28	439.5782027244568
50_2_k3	0	28.0	TL
50_2_k4	0	28.0	TL
50_2_k5	0	28.0	TL
50_3_k2	28	28	399.7773869037628
50_3_k3	0	28.0	TL
50_3_k4	0	28.0	TL
50_3_k5	0	27.0	TL
50_4_k2	28	28	375.83882999420166
50_4_k3	0	28.0	TL
50_4_k4	0	28.0	TL
50_4_k5	0	28.0	TL
50_5_k2	0	28.0	TL
50_5_k3	0	29.0	TL
50_5_k4	0	28.0	TL
50_5_k5	0	29.0	TL
