file	obj	non_def	iter	time	best_time
100_1_k2	65	0	0	0	0
100_1_k3	79	0	0	0	0
100_1_k4	86	0	0	0	0
100_1_k5	92	0	0	0	0
100_2_k2	68	0	0	0	0
100_2_k3	82	0	0	0	0
100_2_k4	92	0	0	0	0
100_2_k5	98	0	0	0	0
100_3_k2	66	0	0	0	0
100_3_k3	79	0	0	0	0
100_3_k4	89	0	0	0	0
100_3_k5	95	0	0	0	0
100_4_k2	64	0	0	0	0
100_4_k3	77	0	0	0	0
100_4_k4	86	0	0	0	0
100_4_k5	94	0	0	0	0
100_5_k2	61	0	0	0	0
100_5_k3	72	0	0	0	0
100_5_k4	81	0	0	0	0
100_5_k5	88	0	0	0	0
10_1_k2	7	0	0	0	0
10_1_k3	8	0	0	0	0
10_1_k4	9	0	0	0	0
10_1_k5	10	0	0	0	0
10_2_k2	6	0	0	0	0
10_2_k3	7	0	0	0	0
10_2_k4	8	0	0	0	0
10_2_k5	9	0	0	0	0
10_3_k2	6	0	0	0	0
10_3_k3	7	0	0	0	0
10_3_k4	8	0	0	0	0
10_3_k5	9	0	0	0	0
10_4_k2	6	0	0	0	0
10_4_k3	8	0	0	0	0
10_4_k4	9	0	0	0	0
10_4_k5	10	0	0	0	0
10_5_k2	6	0	0	0	0
10_5_k3	7	0	0	0	0
10_5_k4	8	0	0	0	0
10_5_k5	9	0	0	0	0
15_1_k2	10	0	0	0	0
15_1_k3	12	0	0	0	0
15_1_k4	13	0	0	0	0
15_1_k5	14	0	0	0	0
15_2_k2	8	0	0	0	0
15_2_k3	10	0	0	0	0
15_2_k4	12	0	0	0	0
15_2_k5	13	0	0	0	0
15_3_k2	9	0	0	0	0
15_3_k3	10	0	0	0	0
15_3_k4	11	0	0	0	0
15_3_k5	12	0	0	0	0
15_4_k2	10	0	0	0	0
15_4_k3	12	0	0	0	0
15_4_k4	13	0	0	0	0
15_4_k5	14	0	0	0	0
15_5_k2	10	0	0	0	0
15_5_k3	12	0	0	0	0
15_5_k4	14	0	0	0	0
15_5_k5	15	0	0	0	0
20_1_k2	12	0	0	0	0
20_1_k3	14	0	0	0	0
20_1_k4	16	0	0	0	0
20_1_k5	18	0	0	0	0
20_2_k2	13	0	0	0	0
20_2_k3	16	0	0	0	0
20_2_k4	18	0	0	0	0
20_2_k5	19	0	0	0	0
20_3_k2	12	0	0	0	0
20_3_k3	14	0	0	0	0
20_3_k4	15	0	0	0	0
20_3_k5	16	0	0	0	0
20_4_k2	11	0	0	0	0
20_4_k3	14	0	0	0	0
20_4_k4	16	0	0	0	0
20_4_k5	17	0	0	0	0
20_5_k2	12	0	0	0	0
20_5_k3	15	0	0	0	0
20_5_k4	17	0	0	0	0
20_5_k5	19	0	0	0	0
30_1_k2	20	0	0	0	0
30_1_k3	23	0	0	0	0
30_1_k4	26	0	0	0	0
30_1_k5	28	0	0	0	0
30_2_k2	20	0	0	0	0
30_2_k3	23	0	0	0	0
30_2_k4	26	0	0	0	0
30_2_k5	29	0	0	0	0
30_3_k2	21	0	0	0	0
30_3_k3	25	0	0	0	0
30_3_k4	29	0	0	0	0
30_3_k5	30	0	0	0	0
30_4_k2	17	0	0	0	0
30_4_k3	21	0	0	0	0
30_4_k4	24	0	0	0	0
30_4_k5	26	0	0	0	0
30_5_k2	18	0	0	0	0
30_5_k3	22	0	0	0	0
30_5_k4	25	0	0	0	0
30_5_k5	27	0	0	0	0
45_1_k2	28	0	0	0	0
45_1_k3	35	0	0	0	0
45_1_k4	40	0	0	0	0
45_1_k5	43	0	0	0	0
45_2_k2	28	0	0	0	0
45_2_k3	34	0	0	0	0
45_2_k4	39	0	0	0	0
45_2_k5	42	0	0	0	0
45_3_k2	28	0	0	0	0
45_3_k3	35	0	0	0	0
45_3_k4	40	0	0	0	0
45_3_k5	43	0	0	0	0
45_4_k2	28	0	0	0	0
45_4_k3	35	0	0	0	0
45_4_k4	40	0	0	0	0
45_4_k5	43	0	0	0	0
45_5_k2	27	0	0	0	0
45_5_k3	34	0	0	0	0
45_5_k4	38	0	0	0	0
45_5_k5	42	0	0	0	0
50_1_k2	31	0	0	0	0
50_1_k3	36	0	0	0	0
50_1_k4	40	0	0	0	0
50_1_k5	44	0	0	0	0
50_2_k2	31	0	0	0	0
50_2_k3	36	0	0	0	0
50_2_k4	40	0	0	0	0
50_2_k5	44	0	0	0	0
50_3_k2	34	0	0	0	0
50_3_k3	40	0	0	0	0
50_3_k4	44	0	0	0	0
50_3_k5	48	0	0	0	0
50_4_k2	33	0	0	0	0
50_4_k3	38	0	0	0	0
50_4_k4	42	0	0	0	0
50_4_k5	45	0	0	0	0
50_5_k2	36	0	0	0	0
50_5_k3	43	0	0	0	0
50_5_k4	47	0	0	0	0
50_5_k5	50	0	0	0	0
