file	obj	status	time
100_1_k2	57	2	402.5727758407593
100_2_k2	58	2	752.2100009918213
100_3_k2	60	2	775.0751411914825
100_4_k2	58	2	296.49891901016235
100_5_k2	57	2	315.65790605545044
10_1_k2	6	2	0.06492900848388672
10_1_k3	7	2	0.5190608501434326
10_1_k4	7	2	1.5920069217681885
10_1_k5	8	2	4.050058841705322
10_2_k2	6	2	0.0956869125366211
10_2_k3	6	2	0.43399715423583984
10_2_k4	7	2	1.570218801498413
10_2_k5	8	2	2.765078067779541
10_3_k2	6	2	0.10156702995300293
10_3_k3	7	2	0.4290440082550049
10_3_k4	7	2	1.3710670471191406
10_3_k5	8	2	3.1857640743255615
10_4_k2	5	2	0.035279035568237305
10_4_k3	6	2	0.28229308128356934
10_4_k4	7	2	1.3198649883270264
10_4_k5	8	2	2.7386791706085205
10_5_k2	6	2	0.07778406143188477
10_5_k3	7	2	0.4194939136505127
10_5_k4	7	2	1.355787992477417
10_5_k5	8	2	1.9704368114471436
15_1_k2	9	2	0.9187660217285156
15_1_k3	10	2	12.204997062683105
15_1_k4	11	2	51.69654703140259
15_1_k5	14	9	TLR
15_2_k2	8	2	0.17543601989746094
15_2_k3	10	2	3.6021838188171387
15_2_k4	11	2	37.671807050704956
15_2_k5	11	2	239.3920979499817
15_3_k2	8	2	0.19375896453857422
15_3_k3	9	2	1.4816789627075195
15_3_k4	10	2	19.014431953430176
15_3_k5	11	2	162.91240191459656
15_4_k2	9	2	1.2244298458099365
15_4_k3	10	2	12.149728775024414
15_4_k4	11	2	104.81711792945862
15_4_k5	12	9	TLR
15_5_k2	9	2	0.2839541435241699
15_5_k3	10	2	7.116530895233154
15_5_k4	11	2	80.21201610565186
15_5_k5	12	9	TLR
20_1_k2	11	2	1.515852928161621
20_1_k3	12	2	7.746469974517822
20_1_k4	14	9	TLR
20_2_k2	12	2	0.49703097343444824
20_2_k3	13	2	17.018216848373413
20_2_k4	18	9	TLR
20_3_k2	11	2	0.915428876876831
20_3_k3	13	2	46.10931611061096
20_3_k4	23	9	TLR
20_4_k2	11	2	0.41257619857788086
20_4_k3	13	2	14.656914949417114
20_4_k4	18	9	TLR
20_5_k2	12	2	1.4406380653381348
20_5_k3	13	2	41.096978187561035
20_5_k4	22	9	TLR
30_1_k2	17	2	4.670497894287109
30_1_k3	19	2	208.9438910484314
30_2_k2	17	2	6.491003036499023
30_2_k3	20	2	222.15769696235657
30_3_k2	17	2	8.310016870498657
30_3_k3	20	2	380.5438289642334
30_4_k2	16	2	1.090217113494873
30_4_k3	19	2	185.17889404296875
30_5_k2	17	2	6.643916845321655
30_5_k3	20	2	218.1414339542389
45_1_k2	26	2	14.47473406791687
45_2_k2	26	2	19.535948991775513
45_3_k2	26	2	35.37398600578308
45_4_k2	27	2	21.009052991867065
45_5_k2	26	2	10.296932935714722
50_1_k2	29	2	32.902425050735474
50_2_k2	28	2	15.171181917190552
50_3_k2	28	2	28.693182945251465
50_4_k2	28	2	21.61881995201111
50_5_k2	29	2	25.21200704574585
