file	obj	non_def	iter	time	best_time
100_1_k2_100	58	0	234	1203.87	390.987
100_1_k2_1000	58	0	326	1203.06	358.816
100_1_k2_200	60	0	156	1204.51	95.541
100_1_k2_300	60	0	278	1202.28	158.515
100_1_k2_400	59	0	259	1200.36	116.612
100_1_k2_500	59	0	278	1202.29	854.982
100_1_k2_600	59	0	274	1204.89	352.667
100_1_k2_700	59	0	286	1201.98	320.766
100_1_k2_800	59	0	277	1206.38	181.392
100_1_k2_900	58	0	319	1201.2	305.583
100_1_k3_100	74	0	639	1201.24	1119.7
100_1_k3_1000	75	0	674	1202.29	1197.33
100_1_k3_200	75	0	632	1201.39	1000
100_1_k3_300	75	0	420	1202.14	1044.62
100_1_k3_400	74	0	667	1202.73	479.706
100_1_k3_500	70	0	700	1201.67	1061.16
100_1_k3_600	74	0	670	1201.38	1028.26
100_1_k3_700	72	0	446	1200.54	788.715
100_1_k3_800	71	0	433	1202.58	1090
100_1_k3_900	75	0	834	1200.25	838.756
100_1_k4_100	76	0	162	1204.04	935.779
100_1_k4_1000	78	0	158	1205.57	934.198
100_1_k4_200	80	0	169	1207.02	575.41
100_1_k4_300	75	0	151	1201.58	1099.28
100_1_k4_400	79	0	93	1203.65	865.047
100_1_k4_500	78	0	97	1204.22	1101.14
100_1_k4_600	77	0	96	1209.36	959.532
100_1_k4_700	79	0	97	1206.84	1119.81
100_1_k4_800	75	0	85	1213.84	431.039
100_1_k4_900	77	0	152	1201.94	966.701
100_1_k5_100	88	0	20	1222.27	922.315
100_1_k5_1000	89	0	12	1203.94	1203.94
100_1_k5_200	90	0	18	1251.07	514.341
100_1_k5_300	91	0	20	1244.47	1244.47
100_1_k5_400	90	0	21	1214.51	1165.22
100_1_k5_500	90	0	21	1216.02	1001.26
100_1_k5_600	85	0	19	1203.92	1044.47
100_1_k5_700	90	0	20	1209.1	337.874
100_1_k5_800	89	0	20	1210.58	1210.58
100_1_k5_900	92	0	10	1247.77	0
100_2_k2_100	61	0	245	1201.32	822.548
100_2_k2_1000	61	0	164	1200.96	1039.57
100_2_k2_200	60	0	280	1202.82	102.749
100_2_k2_300	61	0	161	1203.65	390.21
100_2_k2_400	61	0	301	1202.55	184.259
100_2_k2_500	61	0	282	1202.04	553.314
100_2_k2_600	64	0	304	1203.72	28.674
100_2_k2_700	62	0	279	1203.73	217.334
100_2_k2_800	59	0	309	1200.39	1130.59
100_2_k2_900	62	0	299	1202.26	142.938
100_2_k3_100	76	0	689	1202.13	765.282
100_2_k3_1000	76	0	601	1200.13	1026.48
100_2_k3_200	76	0	673	1200.92	1199.75
100_2_k3_300	74	0	516	1201.69	1123.12
100_2_k3_400	77	0	600	1201.28	433.433
100_2_k3_500	74	0	641	1201.82	905.88
100_2_k3_600	74	0	632	1200.71	637.026
100_2_k3_700	77	0	772	1201.37	1099.68
100_2_k3_800	79	0	804	1201.34	833.676
100_2_k3_900	73	0	599	1201.96	1127.94
100_2_k4_100	84	0	108	1211.25	975.762
100_2_k4_1000	81	0	175	1202.62	804.202
100_2_k4_200	80	0	162	1201.39	1186.33
100_2_k4_300	83	0	93	1202.61	752.088
100_2_k4_400	83	0	97	1206.19	823.347
100_2_k4_500	81	0	93	1212.13	999.741
100_2_k4_600	81	0	152	1200.18	508.707
100_2_k4_700	81	0	156	1208.29	1001.65
100_2_k4_800	83	0	159	1201.33	627.904
100_2_k4_900	79	0	156	1203.71	1100.5
100_2_k5_100	89	0	23	1206.53	927.395
100_2_k5_1000	90	0	22	1235.84	936.65
100_2_k5_200	89	0	22	1241.9	1050.89
100_2_k5_300	89	0	21	1218.19	1173.27
100_2_k5_400	92	0	17	1202.61	1202.61
100_2_k5_500	93	0	21	1237.54	1042.8
100_2_k5_600	89	0	18	1230.84	1230.84
100_2_k5_700	91	0	22	1240.22	1194.84
100_2_k5_800	89	0	22	1217.64	879.754
100_2_k5_900	90	0	22	1200.7	869.008
100_3_k2_100	62	0	298	1200.63	631.392
100_3_k2_1000	62	0	293	1201.51	369.199
100_3_k2_200	61	0	287	1204.06	765.674
100_3_k2_300	62	0	168	1203.01	475.117
100_3_k2_400	63	0	171	1205.13	128.53
100_3_k2_500	61	0	161	1202.92	268.738
100_3_k2_600	63	0	168	1200.64	815.335
100_3_k2_700	62	0	212	1205.36	599.417
100_3_k2_800	62	0	161	1207.45	472.478
100_3_k2_900	64	0	172	1207.45	73.56
100_3_k3_100	74	0	645	1203.31	602.71
100_3_k3_1000	79	0	445	1201.36	0
100_3_k3_200	74	0	401	1200.18	1020.5
100_3_k3_300	77	0	507	1200.46	227.759
100_3_k3_400	77	0	571	1200.67	498.172
100_3_k3_500	78	0	482	1206.7	98.21
100_3_k3_600	78	0	627	1201.5	83.908
100_3_k3_700	78	0	425	1202.03	447.441
100_3_k3_800	76	0	460	1201.9	1055.95
100_3_k3_900	72	0	294	1209.74	382.242
100_3_k4_100	82	0	158	1206.71	419.132
