file	obj	dual bound	time
akron-k2	11	11	9.764979362487793
akron-k3	13	13	94.76325273513794
akron-k4	13	13	289.66694617271423
akron-k5	0	14.0	TL
alameda-k2	17	17	1.0244731903076172
alameda-k3	17	17	1.9326167106628418
alameda-k4	17	17	4.588449716567993
alameda-k5	17	17	10.79305124282837
alaska-ipla-k2	15	15	23.955371856689453
alaska-ipla-k3	18	18	396.80714893341064
alaska-ipla-k4	0	19.0	TL
alaska-ipla-k5	0	19.0	TL
albany-k2	15	15	10.351454496383667
albany-k3	18	18	76.26085877418518
albany-k4	19	19	266.0707128047943
albany-k5	0	21.0	TL
amsterdam-k2	0	36.0	TL
amsterdam-k3	0	36.0	TL
amsterdam-k4	0	36.0	TL
anchorage-k2	14	14	27.440940141677856
anchorage-k3	17	17	724.4821445941925
anchorage-k4	0	17.0	TL
anchorage-k5	0	18.0	TL
angers-loire-metropole-k2	17	17	40.78446936607361
angers-loire-metropole-k3	20	20	461.1773896217346
angers-loire-metropole-k4	0	21.0	TL
angers-loire-metropole-k5	0	22.0	TL
angers-k2	4	4	0.22259235382080078
angers-k3	5	5	1.2699227333068848
angers-k4	6	6	1.8809638023376465
angers-k5	7	7	3.6255693435668945
antwerp-k2	31	31	1024.7349090576172
antwerp-k3	0	32.0	TL
antwerp-k4	0	31.0	TL
antwerp-k5	0	31.0	TL
apulia-k2	0	84.0	TL
apulia-k3	0	78.0	TL
asia-k2	25	25	75.48833966255188
asia-k3	29	29	676.9596922397614
asia-k4	0	29.0	TL
asia-k5	0	29.0	TL
atlanta-k2	114	114	81.29886627197266
atlanta-k3	114	114	1479.528574705124
austin-k2	0	33.0	TL
austin-k3	0	34.0	TL
austin-k4	0	33.0	TL
austin-k5	0	33.0	TL
austria-oberoesterreich-k2	11	11	7.068647623062134
austria-oberoesterreich-k3	12	12	20.19968318939209
austria-oberoesterreich-k4	13	13	216.70175695419312
austria-oberoesterreich-k5	14	14	226.86893129348755
austria-steiermark-k2	6	6	0.8310778141021729
austria-steiermark-k3	7	7	2.1327645778656006
austria-steiermark-k4	8	8	4.527148485183716
austria-steiermark-k5	9	9	12.406421422958374
baltimore-k2	0	73.0	TL
baltimore-k3	0	74.0	TL
bari-k2	13	13	6.725507974624634
bari-k3	15	15	77.8408305644989
bari-k4	16	16	289.79507660865784
bari-k5	0	17.0	TL
basel-k2	0	39.0	TL
basel-k3	0	39.0	TL
basel-k4	0	40.0	TL
berlin-k2	0	35.0	TL
berlin-k3	0	35.0	TL
berlin-k4	0	36.0	TL
bern-districts-k2	4	4	0.19781899452209473
bern-districts-k3	5	5	0.47382473945617676
bern-districts-k4	6	6	0.3194270133972168
bern-districts-k5	6	6	0.13310956954956055
bern-quarters-k2	15	15	61.83035445213318
