file	obj	non_def	iter	time	best_time
akron-k2	12	0	0	0	0
akron-k3	15	0	0	0	0
akron-k4	17	0	0	0	0
akron-k5	19	0	0	0	0
alameda-k2	17	0	0	0	0
alameda-k3	17	0	0	0	0
alameda-k4	17	0	0	0	0
alameda-k5	17	0	0	0	0
alaska-ipla-k2	15	0	0	0	0
alaska-ipla-k3	18	0	0	0	0
alaska-ipla-k4	20	0	0	0	0
alaska-ipla-k5	22	0	0	0	0
albany-k2	16	0	0	0	0
albany-k3	19	0	0	0	0
albany-k4	20	0	0	0	0
albany-k5	21	0	0	0	0
amsterdam-k2	50	0	0	0	0
amsterdam-k3	63	0	0	0	0
amsterdam-k4	71	0	0	0	0
amsterdam-k5	79	0	0	0	0
anchorage-k2	15	0	0	0	0
anchorage-k3	19	0	0	0	0
anchorage-k4	22	0	0	0	0
anchorage-k5	24	0	0	0	0
angers-loire-metropole-k2	18	0	0	0	0
angers-loire-metropole-k3	22	0	0	0	0
angers-loire-metropole-k4	25	0	0	0	0
angers-loire-metropole-k5	28	0	0	0	0
angers-k2	4	0	0	0	0
angers-k3	5	0	0	0	0
angers-k4	6	0	0	0	0
angers-k5	7	0	0	0	0
antwerp-k2	33	0	0	0	0
antwerp-k3	39	0	0	0	0
antwerp-k4	45	0	0	0	0
antwerp-k5	50	0	0	0	0
apulia-k2	126	0	0	0	0
apulia-k3	154	0	0	0	0
apulia-k4	179	0	0	0	0
apulia-k5	202	0	0	0	0
asia-k2	25	0	0	0	0
asia-k3	29	0	0	0	0
asia-k4	32	0	0	0	0
asia-k5	35	0	0	0	0
atlanta-k2	114	0	0	0	0
atlanta-k3	114	0	0	0	0
atlanta-k4	114	0	0	0	0
atlanta-k5	114	0	0	0	0
austin-k2	36	0	0	0	0
austin-k3	44	0	0	0	0
austin-k4	51	0	0	0	0
austin-k5	58	0	0	0	0
austria-oberoesterreich-k2	11	0	0	0	0
austria-oberoesterreich-k3	13	0	0	0	0
austria-oberoesterreich-k4	15	0	0	0	0
austria-oberoesterreich-k5	16	0	0	0	0
austria-steiermark-k2	6	0	0	0	0
austria-steiermark-k3	7	0	0	0	0
austria-steiermark-k4	8	0	0	0	0
austria-steiermark-k5	9	0	0	0	0
baltimore-k2	117	0	0	0	0
baltimore-k3	147	0	0	0	0
baltimore-k4	174	0	0	0	0
baltimore-k5	196	0	0	0	0
bari-k2	13	0	0	0	0
bari-k3	16	0	0	0	0
bari-k4	19	0	0	0	0
bari-k5	20	0	0	0	0
basel-k2	45	0	0	0	0
basel-k3	55	0	0	0	0
basel-k4	65	0	0	0	0
basel-k5	75	0	0	0	0
berlin-k2	49	0	0	0	0
berlin-k3	58	0	0	0	0
berlin-k4	67	0	0	0	0
berlin-k5	75	0	0	0	0
bern-districts-k2	4	0	0	0	0
bern-districts-k3	5	0	0	0	0
bern-districts-k4	6	0	0	0	0
bern-districts-k5	6	0	0	0	0
bern-quarters-k2	17	0	0	0	0
bern-quarters-k3	21	0	0	0	0
bern-quarters-k4	23	0	0	0	0
bern-quarters-k5	25	0	0	0	0
birmingham-k2	87	0	0	0	0
birmingham-k3	87	0	0	0	0
birmingham-k4	87	0	0	0	0
birmingham-k5	87	0	0	0	0
boston-k2	14	0	0	0	0
boston-k3	17	0	0	0	0
boston-k4	19	0	0	0	0
boston-k5	21	0	0	0	0
bronx-k2	34	0	0	0	0
bronx-k3	41	0	0	0	0
bronx-k4	47	0	0	0	0
bronx-k5	53	0	0	0	0
brooklyn-k2	31	0	0	0	0
brooklyn-k3	37	0	0	0	0
brooklyn-k4	42	0	0	0	0
brooklyn-k5	46	0	0	0	0
calgary-k2	105	0	0	0	0
calgary-k3	132	0	0	0	0
calgary-k4	157	0	0	0	0
calgary-k5	177	0	0	0	0
canberra-k2	48	0	0	0	0
canberra-k3	59	0	0	0	0
canberra-k4	69	0	0	0	0
canberra-k5	76	0	0	0	0
chapel-hill-k2	134	0	0	0	0
chapel-hill-k3	160	0	0	0	0
chapel-hill-k4	182	0	0	0	0
chapel-hill-k5	198	0	0	0	0
charlottesville-k2	12	0	0	0	0
charlottesville-k3	14	0	0	0	0
charlottesville-k4	15	0	0	0	0
charlottesville-k5	16	0	0	0	0
chesapeake-k2	5	0	0	0	0
chesapeake-k3	6	0	0	0	0
chesapeake-k4	7	0	0	0	0
chesapeake-k5	8	0	0	0	0
chicago-k2	47	0	0	0	0
chicago-k3	59	0	0	0	0
chicago-k4	69	0	0	0	0
chicago-k5	78	0	0	0	0
china-k2	18	0	0	0	0
china-k3	22	0	0	0	0
china-k4	26	0	0	0	0
china-k5	30	0	0	0	0
cincinnati-k2	27	0	0	0	0
cincinnati-k3	34	0	0	0	0
cincinnati-k4	39	0	0	0	0
cincinnati-k5	41	0	0	0	0
cleveland-k2	22	0	0	0	0
cleveland-k3	28	0	0	0	0
cleveland-k4	31	0	0	0	0
cleveland-k5	34	0	0	0	0
cologne-k2	39	0	0	0	0
cologne-k3	49	0	0	0	0
cologne-k4	58	0	0	0	0
cologne-k5	67	0	0	0	0
columbus-k2	25	0	0	0	0
columbus-k3	29	0	0	0	0
columbus-k4	33	0	0	0	0
columbus-k5	35	0	0	0	0
dallas-k2	24	0	0	0	0
dallas-k3	24	0	0	0	0
dallas-k4	24	0	0	0	0
dallas-k5	24	0	0	0	0
denver-k2	38	0	0	0	0
denver-k3	47	0	0	0	0
denver-k4	55	0	0	0	0
denver-k5	61	0	0	0	0
des-moines-k2	39	0	0	0	0
des-moines-k3	46	0	0	0	0
des-moines-k4	51	0	0	0	0
des-moines-k5	54	0	0	0	0
detroit-k2	63	0	0	0	0
detroit-k3	74	0	0	0	0
detroit-k4	82	0	0	0	0
detroit-k5	87	0	0	0	0
dresden-k2	43	0	0	0	0
dresden-k3	53	0	0	0	0
dresden-k4	62	0	0	0	0
dresden-k5	70	0	0	0	0
dublin-k2	12	0	0	0	0
dublin-k3	15	0	0	0	0
dublin-k4	18	0	0	0	0
dublin-k5	20	0	0	0	0
edmonton-k2	170	0	0	0	0
edmonton-k3	213	0	0	0	0
edmonton-k4	249	0	0	0	0
edmonton-k5	282	0	0	0	0
eindhoven-k2	54	0	0	0	0
eindhoven-k3	67	0	0	0	0
eindhoven-k4	80	0	0	0	0
eindhoven-k5	91	0	0	0	0
enschede-k2	30	0	0	0	0
enschede-k3	37	0	0	0	0
enschede-k4	44	0	0	0	0
enschede-k5	50	0	0	0	0
esztergom-k2	33	0	0	0	0
esztergom-k3	33	0	0	0	0
esztergom-k4	33	0	0	0	0
esztergom-k5	33	0	0	0	0
europe-1914-k2	14	0	0	0	0
europe-1914-k3	16	0	0	0	0
europe-1914-k4	18	0	0	0	0
europe-1914-k5	20	0	0	0	0
europe-1938-k2	16	0	0	0	0
europe-1938-k3	18	0	0	0	0
europe-1938-k4	20	0	0	0	0
europe-1938-k5	22	0	0	0	0
europe-k2	29	0	0	0	0
europe-k3	33	0	0	0	0
europe-k4	36	0	0	0	0
europe-k5	38	0	0	0	0
fairbanks-k2	10	0	0	0	0
fairbanks-k3	12	0	0	0	0
fairbanks-k4	13	0	0	0	0
fairbanks-k5	14	0	0	0	0
fort-lauderdale-k2	46	0	0	0	0
fort-lauderdale-k3	55	0	0	0	0
fort-lauderdale-k4	61	0	0	0	0
fort-lauderdale-k5	64	0	0	0	0
france-departments-k2	52	0	0	0	0
france-departments-k3	63	0	0	0	0
france-departments-k4	73	0	0	0	0
france-departments-k5	81	0	0	0	0
geneva-k2	25	0	0	0	0
geneva-k3	29	0	0	0	0
geneva-k4	33	0	0	0	0
geneva-k5	36	0	0	0	0
germany-k2	9	0	0	0	0
germany-k3	10	0	0	0	0
germany-k4	11	0	0	0	0
germany-k5	12	0	0	0	0
ghent-k2	14	0	0	0	0
ghent-k3	16	0	0	0	0
ghent-k4	18	0	0	0	0
ghent-k5	20	0	0	0	0
gisborne-k2	6	0	0	0	0
gisborne-k3	8	0	0	0	0
gisborne-k4	9	0	0	0	0
gisborne-k5	10	0	0	0	0
hamburg-k2	55	0	0	0	0
hamburg-k3	66	0	0	0	0
hamburg-k4	76	0	0	0	0
hamburg-k5	84	0	0	0	0
hampton-k2	7	0	0	0	0
hampton-k3	8	0	0	0	0
hampton-k4	9	0	0	0	0
hampton-k5	10	0	0	0	0
hartford-k2	8	0	0	0	0
hartford-k3	10	0	0	0	0
hartford-k4	12	0	0	0	0
hartford-k5	14	0	0	0	0
henderson-k2	16	0	0	0	0
henderson-k3	18	0	0	0	0
henderson-k4	20	0	0	0	0
henderson-k5	21	0	0	0	0
honolulu-k2	31	0	0	0	0
honolulu-k3	39	0	0	0	0
honolulu-k4	45	0	0	0	0
honolulu-k5	50	0	0	0	0
houston-k2	45	0	0	0	0
houston-k3	56	0	0	0	0
houston-k4	66	0	0	0	0
houston-k5	74	0	0	0	0
hungary-k2	12	0	0	0	0
hungary-k3	16	0	0	0	0
hungary-k4	18	0	0	0	0
hungary-k5	19	0	0	0	0
ireland-counties-k2	22	0	0	0	0
ireland-counties-k3	28	0	0	0	0
ireland-counties-k4	32	0	0	0	0
ireland-counties-k5	34	0	0	0	0
italy-provinces-k2	62	0	0	0	0
italy-provinces-k3	75	0	0	0	0
italy-provinces-k4	87	0	0	0	0
italy-provinces-k5	97	0	0	0	0
italy-regions-k2	15	0	0	0	0
italy-regions-k3	17	0	0	0	0
italy-regions-k4	19	0	0	0	0
italy-regions-k5	20	0	0	0	0
james-city-county-k2	143	0	0	0	0
james-city-county-k3	153	0	0	0	0
james-city-county-k4	159	0	0	0	0
james-city-county-k5	162	0	0	0	0
japan-k2	30	0	0	0	0
japan-k3	36	0	0	0	0
japan-k4	41	0	0	0	0
japan-k5	43	0	0	0	0
kansas-city-k2	78	0	0	0	0
