file	obj	status	time
akron-k2	11	2	2.5729639530181885
akron-k3	13	2	76.29292583465576
akron-k4	22	9	TLR
alameda-k2	17	2	0.005857944488525391
alameda-k3	17	2	0.017644166946411133
alameda-k4	17	2	0.1186668872833252
alameda-k5	17	2	0.47693705558776855
alaska-ipla-k2	15	2	1.345088005065918
alaska-ipla-k3	18	2	137.86784291267395
albany-k2	15	2	0.2225639820098877
albany-k3	18	2	13.649333000183105
albany-k4	22	9	TLR
amsterdam-k2	166	0	TLR
anchorage-k2	14	2	7.061167001724243
anchorage-k3	17	2	313.53659081459045
angers-loire-metropole-k2	17	2	4.492747068405151
angers-loire-metropole-k3	20	2	344.5683298110962
angers-k2	4	2	0.018755197525024414
angers-k3	5	2	0.33159589767456055
angers-k4	6	2	1.2658557891845703
angers-k5	7	2	1.418442964553833
antwerp-k2	31	2	73.86359691619873
asia-k2	25	2	3.376810073852539
atlanta-k2	114	2	3.5693368911743164
austin-k2	35	2	94.53606510162354
austria-oberoesterreich-k2	11	2	0.41829800605773926
austria-oberoesterreich-k3	12	2	7.267102003097534
austria-oberoesterreich-k4	13	2	100.3432879447937
austria-oberoesterreich-k5	19	9	TLR
austria-steiermark-k2	6	2	0.05188107490539551
austria-steiermark-k3	7	2	0.47185397148132324
austria-steiermark-k4	8	2	4.8739190101623535
austria-steiermark-k5	9	2	23.742223024368286
bari-k2	13	2	0.36424803733825684
bari-k3	15	2	9.878305912017822
bari-k4	16	2	227.9594988822937
bari-k5	42	9	TLR
basel-k2	44	2	128.5901701450348
berlin-k2	42	2	210.00116300582886
bern-districts-k2	4	2	0.011662960052490234
bern-districts-k3	5	2	0.02006983757019043
bern-districts-k4	6	2	0.045701026916503906
bern-districts-k5	6	2	0.015427112579345703
bern-quarters-k2	15	2	6.64090895652771
bern-quarters-k3	18	2	460.97022795677185
birmingham-k2	87	2	1.5935468673706055
boston-k2	14	2	0.2729339599609375
boston-k3	16	2	14.878097772598267
boston-k4	21	9	TLR
bronx-k2	32	2	54.66624093055725
brooklyn-k2	28	2	48.882527112960815
canberra-k2	179	0	TLR
charlottesville-k2	11	2	0.19568991661071777
charlottesville-k3	12	2	8.29508900642395
charlottesville-k4	13	2	283.45955204963684
charlottesville-k5	20	9	TLR
chesapeake-k2	5	2	0.03386521339416504
chesapeake-k3	5	2	0.11328005790710449
chesapeake-k4	6	2	0.6092700958251953
chesapeake-k5	7	2	0.75730299949646
chicago-k2	166	0	TLR
china-k2	18	2	2.61613392829895
china-k3	22	2	432.0767629146576
cincinnati-k2	25	2	19.415894031524658
cleveland-k2	21	2	6.638059854507446
cleveland-k3	24	2	413.23747301101685
cologne-k2	37	2	161.13046789169312
columbus-k2	22	2	9.57554292678833
columbus-k3	25	2	549.3903951644897
dallas-k2	24	2	0.014695882797241211
dallas-k3	24	2	0.19457197189331055
dallas-k4	24	2	1.130631923675537
dallas-k5	24	2	5.264878034591675
denver-k2	37	2	140.38972687721252
des-moines-k2	35	2	22.210438013076782
detroit-k2	62	2	35.487119913101196
dresden-k2	40	2	199.24981379508972
dublin-k2	12	2	4.616986036300659
dublin-k3	14	2	149.98089003562927
dublin-k4	25	9	TLR
enschede-k2	29	2	126.82545900344849
esztergom-k2	33	2	0.027141094207763672
esztergom-k3	33	2	0.6208250522613525
esztergom-k4	33	2	6.4806458950042725
europe-1914-k2	14	2	0.1008150577545166
europe-1914-k3	16	2	5.325416088104248
europe-1914-k4	17	2	366.6316421031952
europe-1938-k2	16	2	0.35187602043151855
europe-1938-k3	18	2	9.410759210586548
europe-1938-k4	25	9	TLR
europe-k2	27	2	3.6033010482788086
europe-k3	30	2	321.51626205444336
fairbanks-k2	10	2	0.1397719383239746
fairbanks-k3	11	2	1.9719109535217285
fairbanks-k4	12	2	13.476416110992432
fairbanks-k5	12	2	85.47125697135925
fort-lauderdale-k2	41	2	28.019410133361816
france-departments-k2	49	2	618.8987119197845
geneva-k2	22	2	14.18493103981018
germany-k2	8	2	0.06571102142333984
germany-k3	10	2	1.7967910766601562
germany-k4	11	2	18.21262001991272
germany-k5	11	2	164.80583500862122
ghent-k2	13	2	4.651974201202393
ghent-k3	15	2	195.20032000541687
ghent-k4	50	9	TLR
gisborne-k2	6	2	0.06152701377868652
gisborne-k3	8	2	0.3860909938812256
gisborne-k4	8	2	1.0524959564208984
gisborne-k5	8	2	2.718593120574951
hamburg-k2	174	0	TLR
hampton-k2	7	2	0.08470296859741211
hampton-k3	8	2	0.46355295181274414
hampton-k4	9	2	1.4457669258117676
hampton-k5	9	2	8.501708030700684
hartford-k2	8	2	0.3554978370666504
hartford-k3	10	2	7.372580051422119
hartford-k4	11	2	158.9764380455017
hartford-k5	18	9	TLR
henderson-k2	14	2	1.9201931953430176
henderson-k3	16	2	83.65158295631409
henderson-k4	26	9	TLR
honolulu-k2	30	2	37.66513109207153
houston-k2	44	2	240.92371797561646
hungary-k2	11	2	0.7108659744262695
hungary-k3	13	2	19.7262921333313
hungary-k4	14	2	580.9943699836731
hungary-k5	21	9	TLR
ireland-counties-k2	18	2	2.040097951889038
ireland-counties-k3	21	2	466.3246328830719
italy-provinces-k2	183	0	TLR
italy-regions-k2	14	2	0.2835359573364258
italy-regions-k3	15	2	9.889870166778564
italy-regions-k4	16	2	268.6089780330658
italy-regions-k5	21	9	TLR
japan-k2	28	2	9.990647077560425
las-vegas-k2	17	2	1.278473138809204
las-vegas-k3	20	2	81.74284505844116
las-vegas-k4	28	9	TLR
le-mans-cantons-k2	19	2	12.669634103775024
le-mans-cantons-k3	43	9	TLR
lexington-k2	22	2	7.567238092422485
lexington-k3	24	2	422.2238540649414
liberia-central-k2	27	2	29.730562925338745
liberia-east-k2	33	2	97.19448685646057
liberia-k2	8	2	0.16917085647583008
