file	obj	non_def	iter	time	best_time
runs/real-tries-10-rmax-5/akron.txt-k2	11	0	5001	187.456	0.01
runs/real-tries-10-rmax-5/akron.txt-k3	13	0	606	300.465	0.247
runs/real-tries-10-rmax-5/akron.txt-k4	13	0	100	300.875	15.196
runs/real-tries-10-rmax-5/akron.txt-k5	15	0	73	303.373	14.285
runs/real-tries-10-rmax-5/akron.txt-k6	16	0	902	300.371	4.791
runs/real-tries-10-rmax-5/akron.txt-k8	19	0	467	300.197	2.883
runs/real-tries-10-rmax-5/alameda.txt-k2	17	0	0	0	0
runs/real-tries-10-rmax-5/alameda.txt-k3	17	0	0	0	0
runs/real-tries-10-rmax-5/alameda.txt-k4	17	0	0	0	0
runs/real-tries-10-rmax-5/alameda.txt-k5	17	0	0	0	0
runs/real-tries-10-rmax-5/alameda.txt-k6	17	0	0	0	0
runs/real-tries-10-rmax-5/alameda.txt-k8	17	0	0	0	0
runs/real-tries-10-rmax-5/alaska-ipla.txt-k2	15	0	5000	259.809	0
runs/real-tries-10-rmax-5/alaska-ipla.txt-k3	18	0	370	300.904	0
runs/real-tries-10-rmax-5/alaska-ipla.txt-k4	20	0	125	303.086	0
runs/real-tries-10-rmax-5/alaska-ipla.txt-k5	21	0	67	301.774	1.441
runs/real-tries-10-rmax-5/alaska-ipla.txt-k6	21	0	280	300.801	7.748
runs/real-tries-10-rmax-5/alaska-ipla.txt-k8	25	0	73	310.564	15.39
runs/real-tries-10-rmax-5/albany.txt-k2	15	0	5001	214.572	0.005
runs/real-tries-10-rmax-5/albany.txt-k3	18	0	527	300.025	8.475
runs/real-tries-10-rmax-5/albany.txt-k4	19	0	139	300.138	22.744
runs/real-tries-10-rmax-5/albany.txt-k5	21	0	164	301.474	0
runs/real-tries-10-rmax-5/albany.txt-k6	21	0	72	303.153	4.358
runs/real-tries-10-rmax-5/albany.txt-k8	22	0	1562	300.126	266.675
runs/real-tries-10-rmax-5/amsterdam.txt-k2	47	0	5000	1.668	0
runs/real-tries-10-rmax-5/amsterdam.txt-k3	61	0	5000	6.28	0
runs/real-tries-10-rmax-5/amsterdam.txt-k4	63	0	5000	9.512	0
runs/real-tries-10-rmax-5/amsterdam.txt-k5	76	0	5000	8.102	0
runs/real-tries-10-rmax-5/amsterdam.txt-k6	76	0	0	0	0
runs/real-tries-10-rmax-5/amsterdam.txt-k8	76	0	0	0	0
runs/real-tries-10-rmax-5/anchorage.txt-k2	14	0	3265	300.214	18.319
runs/real-tries-10-rmax-5/anchorage.txt-k3	17	0	156	301.078	13.744
runs/real-tries-10-rmax-5/anchorage.txt-k4	19	0	134	305.447	255.419
runs/real-tries-10-rmax-5/anchorage.txt-k5	22	0	542	300.182	8.491
runs/real-tries-10-rmax-5/anchorage.txt-k6	23	0	155	300.417	44.503
runs/real-tries-10-rmax-5/anchorage.txt-k8	28	0	22	314.767	114.239
runs/real-tries-10-rmax-5/angers-loire-metropole.txt-k2	17	0	3745	600.08	10.737
runs/real-tries-10-rmax-5/angers-loire-metropole.txt-k3	20	0	181	601.95	2.845
runs/real-tries-10-rmax-5/angers-loire-metropole.txt-k4	22	0	157	603.357	542.341
runs/real-tries-10-rmax-5/angers-loire-metropole.txt-k5	25	0	739	600.461	104.143
runs/real-tries-10-rmax-5/angers-loire-metropole.txt-k6	28	0	173	600.02	24.276
runs/real-tries-10-rmax-5/angers-loire-metropole.txt-k8	29	0	20	625.18	284.422
runs/real-tries-10-rmax-5/angers.txt-k2	4	0	5000	6.139	0
runs/real-tries-10-rmax-5/angers.txt-k3	5	0	5000	40.162	0
runs/real-tries-10-rmax-5/angers.txt-k4	6	0	5000	98.749	0
runs/real-tries-10-rmax-5/angers.txt-k5	7	0	5000	197.118	0
runs/real-tries-10-rmax-5/angers.txt-k6	8	0	5000	268.615	0
runs/real-tries-10-rmax-5/angers.txt-k8	10	0	5000	102.882	0
runs/real-tries-10-rmax-5/antwerp.txt-k2	32	0	600	600.601	24.931
runs/real-tries-10-rmax-5/antwerp.txt-k3	39	0	162	603.862	0
runs/real-tries-10-rmax-5/antwerp.txt-k4	41	0	236	601.307	427.237
runs/real-tries-10-rmax-5/antwerp.txt-k5	47	0	112	601.33	160.01
runs/real-tries-10-rmax-5/antwerp.txt-k6	52	0	15	622.819	266.113
runs/real-tries-10-rmax-5/antwerp.txt-k8	0	0	0	0	0
runs/real-tries-10-rmax-5/apulia.txt-k2	125	0	149	1205.3	30.642
runs/real-tries-10-rmax-5/apulia.txt-k3	146	0	46	1223.94	348.315
runs/real-tries-10-rmax-5/apulia.txt-k4	167	0	62	1233.27	721.076
runs/real-tries-10-rmax-5/apulia.txt-k5	167	0	0	0	0
runs/real-tries-10-rmax-5/apulia.txt-k6	167	0	0	0	0
runs/real-tries-10-rmax-5/apulia.txt-k8	167	0	0	0	0
runs/real-tries-10-rmax-5/asia.txt-k2	25	0	1970	600.172	0
runs/real-tries-10-rmax-5/asia.txt-k3	29	0	89	604.247	0
runs/real-tries-10-rmax-5/asia.txt-k4	32	0	69	603.948	0
runs/real-tries-10-rmax-5/asia.txt-k5	34	0	334	601.505	35.193
runs/real-tries-10-rmax-5/asia.txt-k6	35	0	79	603.583	125.587
runs/real-tries-10-rmax-5/asia.txt-k8	40	0	17	614.838	0
runs/real-tries-10-rmax-5/atlanta.txt-k2	114	0	0	0	0
runs/real-tries-10-rmax-5/atlanta.txt-k3	114	0	0	0	0
runs/real-tries-10-rmax-5/atlanta.txt-k4	114	0	0	0	0
runs/real-tries-10-rmax-5/atlanta.txt-k5	114	0	0	0	0
runs/real-tries-10-rmax-5/atlanta.txt-k6	114	0	0	0	0
runs/real-tries-10-rmax-5/atlanta.txt-k8	114	0	0	0	0
runs/real-tries-10-rmax-5/austin.txt-k2	35	0	5001	198.148	0.01
runs/real-tries-10-rmax-5/austin.txt-k3	41	0	483	300.214	13.552
runs/real-tries-10-rmax-5/austin.txt-k4	46	0	83	303.188	5.208
runs/real-tries-10-rmax-5/austin.txt-k5	51	0	64	300.085	3.272
runs/real-tries-10-rmax-5/austin.txt-k6	57	0	789	300.043	3.305
runs/real-tries-10-rmax-5/austin.txt-k8	57	0	0	0	0
runs/real-tries-10-rmax-5/austria-oberoesterreich.txt-k2	11	0	5000	89.229	0
runs/real-tries-10-rmax-5/austria-oberoesterreich.txt-k3	12	0	1409	300.102	0.102
runs/real-tries-10-rmax-5/austria-oberoesterreich.txt-k4	13	0	230	301.199	0.343
runs/real-tries-10-rmax-5/austria-oberoesterreich.txt-k5	14	0	97	304.701	2.259
runs/real-tries-10-rmax-5/austria-oberoesterreich.txt-k6	14	0	72	300.722	21.149
runs/real-tries-10-rmax-5/austria-oberoesterreich.txt-k8	15	0	64	311.267	290.142
runs/real-tries-10-rmax-5/austria-steiermark.txt-k2	6	0	5000	26.478	0
runs/real-tries-10-rmax-5/austria-steiermark.txt-k3	7	0	5000	178.416	0
runs/real-tries-10-rmax-5/austria-steiermark.txt-k4	8	0	2055	300.068	0
