file	obj	dual bound	time
100_0.3_k2	0	13.0	TL
100_0.3_k3	0	13.0	TL
100_0.3_k4	0	14.0	TL
100_0.4_k2	0	10.0	TL
100_0.4_k3	0	10.0	TL
100_0.4_k4	0	10.0	TL
100_0.5_k2	0	7.0	TL
100_0.5_k3	0	7.0	TL
100_0.5_k4	0	8.0	TL
100_0.6_k3	0	6.0	TL
100_0.6_k4	0	7.0	TL
150_0.3_k2	0	14.0	TL
150_0.3_k3	0	15.0	TL
150_0.3_k4	0	15.0	TL
150_0.4_k2	0	8.000000000083663	TL
150_0.4_k3	0	9.0	TL
150_0.4_k4	0	9.0	TL
150_0.5_k2	0	7.0	TL
150_0.5_k3	0	7.0	TL
150_0.5_k4	0	8.0	TL
150_0.6_k2	0	6.0	TL
150_0.6_k3	0	6.0	TL
150_0.6_k4	0	6.0	TL
20_0.3_k2	12	12	6.5409934520721436
20_0.3_k3	14	14	31.07158327102661
20_0.3_k4	16	16	144.34285807609558
20_0.3_k5	0	16.0	TL
20_0.4_k2	9	9	7.7654759883880615
20_0.4_k3	12	12	100.97325444221497
20_0.4_k4	0	13.0	TL
20_0.4_k5	0	14.0	TL
20_0.5_k2	5	5	6.592696905136108
20_0.5_k3	6	6	44.619858741760254
20_0.5_k4	7	7	267.94937348365784
20_0.5_k5	0	8.0	TL
20_0.6_k2	3	3	2.6355140209198
20_0.6_k3	4	4	9.826362609863281
20_0.6_k4	5	5	33.05345559120178
20_0.6_k5	6	6	187.02139019966125
30_0.3_k2	13	13	28.718950748443604
30_0.3_k3	16	16	359.5176668167114
30_0.3_k4	0	17.0	TL
30_0.3_k5	0	17.0	TL
30_0.4_k2	7	7	16.826513051986694
30_0.4_k3	9	9	197.10879468917847
30_0.4_k4	0	9.0	TL
30_0.4_k5	0	10.0	TL
30_0.5_k2	8	8	31.361324071884155
30_0.5_k3	10	10	176.2405400276184
30_0.5_k4	0	11.0	TL
30_0.5_k5	0	12.0	TL
30_0.6_k2	5	5	23.04728937149048
30_0.6_k3	6	6	159.67645478248596
30_0.6_k4	7	7	1048.2362444400787
50_0.3_k2	13	13	196.1495132446289
50_0.3_k3	0	15.0	TL
50_0.3_k4	0	15.0	TL
50_0.3_k5	0	16.0	TL
50_0.4_k2	10	10	177.61090326309204
50_0.4_k3	0	11.0	TL
50_0.4_k4	0	12.0	TL
50_0.4_k5	0	12.0	TL
50_0.5_k2	6	6	64.0107204914093
50_0.5_k3	0	7.0	TL
50_0.5_k4	0	8.0	TL
50_0.5_k5	0	9.0	TL
50_0.6_k2	5	5	100.08590888977051
50_0.6_k3	6	6	1402.6626167297363
50_0.6_k4	0	7.0	TL
50_0.6_k5	0	7.0	TL
