file	obj	non_def	iter	time	best_time
100_0.3_k2	18	0	0	0	0
100_0.3_k3	23	0	0	0	0
100_0.3_k4	28	0	0	0	0
100_0.3_k5	33	0	0	0	0
100_0.4_k2	13	0	0	0	0
100_0.4_k3	17	0	0	0	0
100_0.4_k4	21	0	0	0	0
100_0.4_k5	25	0	0	0	0
100_0.5_k2	9	0	0	0	0
100_0.5_k3	12	0	0	0	0
100_0.5_k4	15	0	0	0	0
100_0.5_k5	18	0	0	0	0
100_0.6_k2	7	0	0	0	0
100_0.6_k3	9	0	0	0	0
100_0.6_k4	11	0	0	0	0
100_0.6_k5	12	0	0	0	0
150_0.3_k2	20	0	0	0	0
150_0.3_k3	25	0	0	0	0
150_0.3_k4	30	0	0	0	0
150_0.3_k5	35	0	0	0	0
150_0.4_k2	15	0	0	0	0
150_0.4_k3	20	0	0	0	0
150_0.4_k4	25	0	0	0	0
150_0.4_k5	29	0	0	0	0
150_0.5_k2	11	0	0	0	0
150_0.5_k3	14	0	0	0	0
150_0.5_k4	17	0	0	0	0
150_0.5_k5	20	0	0	0	0
150_0.6_k2	9	0	0	0	0
150_0.6_k3	11	0	0	0	0
150_0.6_k4	13	0	0	0	0
150_0.6_k5	15	0	0	0	0
20_0.3_k2	13	0	0	0	0
20_0.3_k3	15	0	0	0	0
20_0.3_k4	17	0	0	0	0
20_0.3_k5	19	0	0	0	0
20_0.4_k2	10	0	0	0	0
20_0.4_k3	12	0	0	0	0
20_0.4_k4	14	0	0	0	0
20_0.4_k5	16	0	0	0	0
20_0.5_k2	6	0	0	0	0
20_0.5_k3	7	0	0	0	0
20_0.5_k4	8	0	0	0	0
20_0.5_k5	9	0	0	0	0
20_0.6_k2	3	0	0	0	0
20_0.6_k3	4	0	0	0	0
20_0.6_k4	5	0	0	0	0
20_0.6_k5	6	0	0	0	0
30_0.3_k2	13	0	0	0	0
30_0.3_k3	16	0	0	0	0
30_0.3_k4	19	0	0	0	0
30_0.3_k5	21	0	0	0	0
30_0.4_k2	7	0	0	0	0
30_0.4_k3	9	0	0	0	0
30_0.4_k4	11	0	0	0	0
30_0.4_k5	13	0	0	0	0
30_0.5_k2	9	0	0	0	0
30_0.5_k3	11	0	0	0	0
30_0.5_k4	13	0	0	0	0
30_0.5_k5	15	0	0	0	0
30_0.6_k2	5	0	0	0	0
30_0.6_k3	6	0	0	0	0
30_0.6_k4	7	0	0	0	0
30_0.6_k5	8	0	0	0	0
50_0.3_k2	15	0	0	0	0
50_0.3_k3	18	0	0	0	0
50_0.3_k4	21	0	0	0	0
50_0.3_k5	24	0	0	0	0
50_0.4_k2	11	0	0	0	0
50_0.4_k3	14	0	0	0	0
50_0.4_k4	16	0	0	0	0
50_0.4_k5	18	0	0	0	0
50_0.5_k2	8	0	0	0	0
50_0.5_k3	10	0	0	0	0
50_0.5_k4	12	0	0	0	0
50_0.5_k5	14	0	0	0	0
50_0.6_k2	6	0	0	0	0
50_0.6_k3	7	0	0	0	0
50_0.6_k4	8	0	0	0	0
50_0.6_k5	9	0	0	0	0
