file	obj	status	time
20_0.3_k2	12	2	0.2553870677947998
20_0.3_k3	14	2	5.732958078384399
20_0.3_k4	16	2	135.17859721183777
20_0.4_k2	9	2	1.1576499938964844
20_0.4_k3	12	2	51.1126229763031
20_0.4_k4	19	9	TLR
20_0.5_k2	5	2	1.1443049907684326
20_0.5_k3	6	2	41.557414054870605
20_0.5_k4	43	9	TLR
20_0.6_k2	3	2	0.2096560001373291
20_0.6_k3	4	2	3.1446781158447266
20_0.6_k4	46	9	TLR
30_0.3_k2	13	2	1.7092080116271973
30_0.3_k3	16	2	291.33040499687195
30_0.4_k2	7	2	3.7004311084747314
30_0.4_k3	16	9	TLR
30_0.5_k2	8	2	7.380691051483154
30_0.5_k3	15	9	TLR
