file	obj	non_def	iter	time	best_time
100_0.3_k2_100	13	0	131	1203.65	1050.62
100_0.3_k2_1000	13	0	134	1200.87	52.676
100_0.3_k2_200	13	0	122	1201.3	64.324
100_0.3_k2_300	13	0	134	1204.77	25.082
100_0.3_k2_400	13	0	119	1201.57	24.831
100_0.3_k2_500	13	0	128	1203.16	274.672
100_0.3_k2_600	13	0	124	1203.72	551.103
100_0.3_k2_700	13	0	132	1202.47	259.583
100_0.3_k2_800	13	0	124	1200.59	394.71
100_0.3_k2_900	13	0	129	1204.24	97.962
100_0.3_k3_100	22	0	33	1210.58	317.19
100_0.3_k3_1000	23	0	24	1239.56	0
100_0.3_k3_200	19	0	28	1219.4	1108.7
100_0.3_k3_300	23	0	28	1204.18	0
100_0.3_k3_400	18	0	22	1297.58	929.388
100_0.3_k3_500	23	0	30	1274.62	0
100_0.3_k3_600	21	0	24	1211.62	560.284
100_0.3_k3_700	23	0	30	1223.05	0
100_0.3_k3_800	23	0	30	1260.79	0
100_0.3_k3_900	18	0	29	1242.19	1079.1
100_0.3_k4_100	26	0	14	1530.98	177.166
100_0.3_k4_1000	28	0	13	1210.28	0
100_0.3_k4_200	27	0	11	1214.65	1214.65
100_0.3_k4_300	28	0	10	1520.55	0
100_0.3_k4_400	28	0	9	1631.52	0
100_0.3_k4_500	28	0	10	1277.18	0
100_0.3_k4_600	27	0	10	1318.5	1091.7
100_0.3_k4_700	27	0	13	1324.47	205.933
100_0.3_k4_800	28	0	10	1251.4	0
100_0.3_k4_900	27	0	9	1273.99	402.469
100_0.3_k5_100	33	0	6	1206.41	0
100_0.3_k5_1000	33	0	7	1397.31	0
100_0.3_k5_200	33	0	6	1390.37	0
100_0.3_k5_300	33	0	6	1269.86	0
100_0.3_k5_400	33	0	7	1354.9	0
100_0.3_k5_500	33	0	6	1213.55	0
100_0.3_k5_600	33	0	7	1400.61	0
100_0.3_k5_700	33	0	8	1433.63	0
100_0.3_k5_800	33	0	5	1422.85	0
100_0.3_k5_900	33	0	5	1207.81	0
100_0.4_k2_100	10	0	112	1205.99	32.003
100_0.4_k2_1000	10	0	100	1207.93	41.643
100_0.4_k2_200	10	0	113	1206.15	8.86
100_0.4_k2_300	10	0	114	1202.39	21.756
100_0.4_k2_400	10	0	112	1201.05	34.83
100_0.4_k2_500	10	0	113	1207.63	6.792
100_0.4_k2_600	10	0	107	1206.47	6.49
100_0.4_k2_700	10	0	112	1202.14	73.497
100_0.4_k2_800	10	0	114	1205.56	45.002
100_0.4_k2_900	10	0	107	1206.06	12.473
100_0.4_k3_100	17	0	38	1224.87	0
100_0.4_k3_1000	14	0	19	1227.11	283.562
100_0.4_k3_200	13	0	15	1270.91	1181.05
100_0.4_k3_300	14	0	13	1311.7	453.155
100_0.4_k3_400	16	0	20	1273.48	27.356
100_0.4_k3_500	14	0	17	1301.22	1146.28
100_0.4_k3_600	14	0	15	1244.93	630.483
100_0.4_k3_700	14	0	13	1314.16	202.137
100_0.4_k3_800	15	0	16	1201.69	376.43
100_0.4_k3_900	14	0	12	1260.38	29.928
100_0.4_k4_100	20	0	13	1389.48	189.569
100_0.4_k4_1000	20	0	14	1320.88	1163.38
100_0.4_k4_200	21	0	12	1253.15	0
100_0.4_k4_300	20	0	12	1241.75	948.674
100_0.4_k4_400	20	0	16	1305.47	1054.61
100_0.4_k4_500	20	0	11	1336.37	48.291
100_0.4_k4_600	21	0	15	1234.42	0
100_0.4_k4_700	20	0	9	1272.29	49.168
100_0.4_k4_800	18	0	11	1527.14	398.855
100_0.4_k4_900	20	0	16	1265.48	921.095
100_0.4_k5_100	24	0	4	1255.43	635.056
100_0.4_k5_1000	25	0	4	1482.07	0
100_0.4_k5_200	25	0	4	1493.11	0
100_0.4_k5_300	25	0	4	1645.46	0
100_0.4_k5_400	25	0	4	1262	0
100_0.4_k5_500	25	0	4	1265.78	0
100_0.4_k5_600	23	0	5	1258.94	722.805
100_0.4_k5_700	25	0	5	1283.24	0
100_0.4_k5_800	24	0	5	2258.73	467.115
100_0.4_k5_900	25	0	5	1680.3	0
100_0.5_k2_100	9	0	116	1203.23	0
100_0.5_k2_1000	9	0	113	1200.07	0
100_0.5_k2_200	9	0	113	1206.3	0
100_0.5_k2_300	9	0	114	1210.14	0
100_0.5_k2_400	9	0	122	1203.07	0
100_0.5_k2_500	9	0	114	1209.76	0
100_0.5_k2_600	9	0	116	1202.92	0
100_0.5_k2_700	9	0	114	1204.64	0
100_0.5_k2_800	9	0	108	1213.74	0
100_0.5_k2_900	9	0	107	1207.6	0
100_0.5_k3_100	12	0	9	1242.5	0
100_0.5_k3_1000	12	0	10	1352.02	0
100_0.5_k3_200	12	0	10	1438.19	0
100_0.5_k3_300	12	0	13	1255.73	0
100_0.5_k3_400	12	0	10	1328.67	0
100_0.5_k3_500	12	0	14	1253.93	0
100_0.5_k3_600	12	0	10	1272.12	0
100_0.5_k3_700	12	0	14	1227.92	0
100_0.5_k3_800	12	0	10	1255.94	0
100_0.5_k3_900	12	0	13	1386.28	0
100_0.5_k4_100	15	0	10	1225.55	0
100_0.5_k4_1000	15	0	10	1759.51	0
100_0.5_k4_200	15	0	9	1460.39	0
100_0.5_k4_300	15	0	9	1532.7	0
100_0.5_k4_400	15	0	8	1442.13	0
100_0.5_k4_500	15	0	14	1423.91	0
100_0.5_k4_600	15	0	9	1835.46	0
100_0.5_k4_700	15	0	9	1296.18	0
100_0.5_k4_800	15	0	9	1279.87	0
100_0.5_k4_900	15	0	10	1441.55	0
100_0.5_k5_100	18	0	6	1971.33	0
100_0.5_k5_1000	18	0	4	1368.2	0
100_0.5_k5_200	18	0	4	2251.33	0
100_0.5_k5_300	18	0	4	1351.69	0
100_0.5_k5_400	18	0	6	1270.89	0
100_0.5_k5_500	18	0	4	2237.24	0
100_0.5_k5_600	18	0	6	2374.05	0
100_0.5_k5_700	18	0	5	2157.62	0
100_0.5_k5_800	18	0	4	2548.31	0
100_0.5_k5_900	18	0	4	1554.35	0
100_0.6_k2_100	6	0	133	1211.3	32.665
100_0.6_k2_1000	6	0	125	1203.08	9.47
100_0.6_k2_200	6	0	123	1204.53	9.586
100_0.6_k2_300	6	0	135	1203.17	26.587
100_0.6_k2_400	6	0	142	1201.62	31.642
100_0.6_k2_500	6	0	137	1202.64	8.502
100_0.6_k2_600	6	0	126	1203.98	18.632
100_0.6_k2_700	6	0	128	1208.48	15.905
100_0.6_k2_800	6	0	134	1216.61	29.687
100_0.6_k2_900	6	0	135	1205.43	62.625
100_0.6_k3_100	8	0	15	1264.05	11.118
100_0.6_k3_1000	8	0	13	1307.52	471.203
100_0.6_k3_200	8	0	14	1297.38	309.367
100_0.6_k3_300	8	0	16	1241.59	322.795
100_0.6_k3_400	8	0	14	1298.91	692.89
100_0.6_k3_500	9	0	13	1209.08	0
100_0.6_k3_600	8	0	14	1223.1	410.93
100_0.6_k3_700	8	0	16	1297.03	239.069
100_0.6_k3_800	8	0	13	1292.68	129.265
100_0.6_k3_900	9	0	16	1213.24	0
100_0.6_k4_100	10	0	11	1437.08	727.375
100_0.6_k4_1000	10	0	8	1212.3	590.315
100_0.6_k4_200	10	0	10	1348.25	440.653
100_0.6_k4_300	11	0	7	1316.51	0
100_0.6_k4_400	11	0	9	1516.99	0
100_0.6_k4_500	11	0	8	1254.61	0
100_0.6_k4_600	11	0	10	1217.46	0
100_0.6_k4_700	10	0	8	1322.38	820.639
100_0.6_k4_800	11	0	9	1243.38	0
100_0.6_k4_900	11	0	8	1308.76	0
100_0.6_k5_100	12	0	3	1278.08	0
100_0.6_k5_1000	12	0	4	1327.12	0
100_0.6_k5_200	12	0	3	1805.73	0
100_0.6_k5_300	12	0	2	1928.47	0
100_0.6_k5_400	12	0	2	1285.67	0
100_0.6_k5_500	12	0	2	1231.2	0
100_0.6_k5_600	12	0	3	1329.97	0
100_0.6_k5_700	12	0	2	1289	0
100_0.6_k5_800	12	0	2	1560.55	0
100_0.6_k5_900	12	0	2	1208.41	0
150_0.3_k2_100	16	0	34	1229.7	42.48
150_0.3_k2_1000	17	0	35	1240.37	337.674
150_0.3_k2_200	16	0	35	1202.59	165.931
150_0.3_k2_300	17	0	34	1209.11	88.965
150_0.3_k2_400	16	0	37	1209.15	600.465
150_0.3_k2_500	16	0	37	1236.07	617.825
150_0.3_k2_600	17	0	33	1250.64	59.342
150_0.3_k2_700	16	0	36	1200.26	374.369
150_0.3_k2_800	16	0	36	1237.53	182.845
150_0.3_k2_900	16	0	36	1225.91	932.625
150_0.3_k3_100	24	0	11	1200.07	50.563
150_0.3_k3_1000	25	0	12	1207.37	0
150_0.3_k3_200	25	0	10	1248.22	0
150_0.3_k3_300	25	0	12	1310.21	0
150_0.3_k3_400	25	0	14	1255.07	0
150_0.3_k3_500	25	0	10	1360.8	0
150_0.3_k3_600	25	0	10	1217.34	0
150_0.3_k3_700	25	0	9	1268.26	0
150_0.3_k3_800	25	0	13	1293.69	0
150_0.3_k3_900	24	0	13	1356.72	73.889
150_0.3_k4_100	30	0	7	1306.21	0
150_0.3_k4_1000	30	0	6	1362.62	0
150_0.3_k4_200	30	0	6	1260.64	0
150_0.3_k4_300	30	0	6	1291.32	0
150_0.3_k4_400	30	0	6	1379.53	0
150_0.3_k4_500	30	0	6	1474.85	0
150_0.3_k4_600	30	0	5	1423.98	0
150_0.3_k4_700	30	0	6	1314.68	0
150_0.3_k4_800	30	0	7	1523.63	0
150_0.3_k4_900	30	0	7	1668.21	0
150_0.3_k5_100	30	0	0	0	0
150_0.3_k5_1000	30	0	0	0	0
150_0.3_k5_200	30	0	0	0	0
150_0.3_k5_300	30	0	0	0	0
150_0.3_k5_400	30	0	0	0	0
150_0.3_k5_500	30	0	0	0	0
150_0.3_k5_600	30	0	0	0	0
150_0.3_k5_700	30	0	0	0	0
150_0.3_k5_800	30	0	0	0	0
150_0.3_k5_900	30	0	0	0	0
150_0.4_k2_100	12	0	32	1231.24	23.467
150_0.4_k2_1000	12	0	32	1237.25	52.196
150_0.4_k2_200	12	0	29	1257.64	603.816
150_0.4_k2_300	12	0	30	1209.45	357.054
150_0.4_k2_400	12	0	30	1228.31	134.081
150_0.4_k2_500	12	0	31	1226.82	21.581
150_0.4_k2_600	12	0	33	1220.96	102.415
150_0.4_k2_700	12	0	31	1224.86	39.765
150_0.4_k2_800	12	0	32	1200.85	217.583
150_0.4_k2_900	12	0	29	1200.43	51.878
150_0.4_k3_100	20	0	18	1228.16	0
150_0.4_k3_1000	20	0	30	1276.45	0
150_0.4_k3_200	20	0	26	1213.02	0
150_0.4_k3_300	16	0	16	1425.4	1125.46
150_0.4_k3_400	20	0	27	1352	0
150_0.4_k3_500	18	0	23	1262.77	890.041
150_0.4_k3_600	19	0	23	1243.72	986.066
150_0.4_k3_700	18	0	20	1224.64	1224.64
150_0.4_k3_800	19	0	22	1258.95	709.781
150_0.4_k3_900	19	0	13	1296.16	552.575
150_0.4_k4_100	25	0	6	1437.64	0
150_0.4_k4_1000	25	0	6	1550.61	0
150_0.4_k4_200	25	0	6	1333.27	0
150_0.4_k4_300	25	0	5	1428.76	0
150_0.4_k4_400	25	0	7	1228.93	0
